id,period,network,network_name,subnetwork,subnetwork_name,category,groups,families,branch_count,station_count,series_count,has_rivers,has_basins,has_comarcas,has_municipis,has_aquifers,has_masses,has_reservoirs
before_2007:0000:0017,before_2007,0000,XARXES ANTERIORS 2007,0017,Elements fisicoquímics rius i embassaments,biological; priority substances; metals; physical-chemical,Fisicoquímics|Metalls|Microcontaminants orgànics|Índexs biològics,Clorofenols|Condicions d'oxigenació|Dioxans|Dissolvents industrials|Fitoplàncton|General orgànics|Generals|Hidrocarburs aromàtics policíclics|Invertebrats|Metalls|Nonilfenols i Octilfenol|Nutrients|Organohalogenats volàtils|PCB|Plaguicides organoclorats|Plaguicides organofosforats|Salinitat|Triazines,239,153,30837,True,True,True,True,True,True,True
before_2007:0000:0018,before_2007,0000,XARXES ANTERIORS 2007,0018,Elements fisicoquímics costaneres i badies,biological; physical-chemical,Fisicoquímics|Índexs biològics,Condicions d'oxigenació|Fitoplàncton|Generals|Nutrients|Salinitat,17,106,1399,True,True,True,True,True,True,True
before_2007:0000:0019,before_2007,0000,XARXES ANTERIORS 2007,0019,Elements fisicoquímics subterrànies,priority substances; metals; physical-chemical,Fisicoquímics|Metalls|Microcontaminants orgànics,Condicions d'oxigenació|Generals|Metalls|Nutrients|Plaguicides organoclorats|Plaguicides organofosforats|Salinitat|Triazines,99,2079,56032,True,True,True,True,True,True,True
before_2007:0000:0020,before_2007,0000,XARXES ANTERIORS 2007,0020,Nivells piezomètrics aigües subterrànies,groundwater levels,Piezometria,Piezometria,1,21,23,True,True,True,True,True,True,True
before_2007:0001:0301,before_2007,0001,CONTROL RIUS,0301,Cabals,quantity,Quantitat,Quantitat,1,81,82,True,True,True,True,True,True,True
before_2007:0001:0303,before_2007,0001,CONTROL RIUS,0303,Nivells,quantity,Quantitat,Quantitat,1,74,74,True,True,True,True,True,True,True
before_2007:0002:0302,before_2007,0002,CONTROL EMBASSAMENTS,0302,Volums,quantity,Quantitat,Quantitat,3,12,34,True,True,True,True,True,True,True
before_2007:0004:0007,before_2007,0004,CONTROL AIGÜES COSTANERES I BADIES,0007,Elements biològics,biological,Índexs biològics,Fanerògames marines|Macroalgues|Macrofauna,3,64,64,True,True,True,True,True,True,True
before_2007:0004:0009,before_2007,0004,CONTROL AIGÜES COSTANERES I BADIES,0009,Substàncies prioritàries i preferents,priority substances,Microcontaminants orgànics,Hidrocarburs aromàtics policíclics|Nonilfenols i Octilfenol|Organohalogenats volàtils|PCB|Plaguicides organoclorats|Polibromatdifenilèters,52,28,1373,True,True,True,True,True,True,True
before_2007:0005:0011,before_2007,0005,CONTROL AIGÜES SUBTERRÀNIES,0011,Nivells piezomètrics,groundwater levels,Piezometria,Piezometria,1,363,396,True,True,True,True,True,True,True
before_2007:0006:0014,before_2007,0006,CONTROL ZONES PROTEGIDES,0014,Zones vulnerables (nitrat origen agrari),physical-chemical,Fisicoquímics,Nutrients,4,779,2417,True,True,True,True,True,True,True
