period,network,station,name,x,y
after_2007,0003,F016228,Estanyols de la Vall de Sant Miquel de Campmajor-Estanyols temporanis petits - H104003000,473478,4664131
after_2007,0003,F016229,Estanyols de la Vall de Sant Miquel de Campmajor - H104004000,473716,4663066
after_2007,0003,F016230,Estany de Bancells - H105002000,474867,4621612
after_2007,0003,F016231,Estanys de Tordera-Estany de Can Torrent - H105006000,475258,4616435
after_2007,0003,F016232,Estanys de Tordera-Estany de la Júlia - H105003000,475311,4618678
after_2007,0003,F016233,Estanys de Tordera-Braç esquerre de l'illa del Tordera - H105004000,475842,4617296
after_2007,0003,F016234,Estanys de Tordera-Estany de Can Raba - H105005000,476940,4617485
after_2007,0003,F016235,Estany de Sils - H105001000,478631,4627820
after_2007,0003,F016236,Clot d'Espolla-Platja d'Espolla - H104002000,480693,4666475
after_2007,0003,F016237,Desembocadura del riu Tordera - H105007000,481386,4611198
after_2007,0003,F016238,Estanyols de Mas Margall - H103005000,492353,4677498
after_2007,0003,F016239,Estanys de les Alberes-Estanys de Canadal - H103001001,492052,4694301
after_2007,0003,F016240,Estanys de les Alberes-Estanys de Canadal - H103001000,492581,4693746
after_2007,0003,F016241,Estanys de les Alberes-Estanys de Cantallops - H103002000,494139,4693988
after_2007,0003,F016242,Estanys dels Tórlits - H103004000,495931,4690868
after_2007,0003,F016243,Estanys dels Tórlits - H103004001,496618,4691863
after_2007,0003,F016244,Estanys de Gutina - H103003000,498332,4693849
after_2007,0003,F016245,Aiguamolls de l'Alt Empordà-Meandres del riu Fluvià - H104001000,506864,4669601
after_2007,0003,F016246,Aiguamolls de l'Alt Empordà-Estany del Cortalet - H103010000,507909,4674620
after_2007,0003,F016247,Aiguamolls de l'Alt Empordà-Riu Vell - H160001000,508751,4666210
after_2007,0003,F016248,Aiguamolls de l'Alt Empordà-La Massona i la Llarga - H103009000,508755,4673041
after_2007,0003,F016249,Aiguamolls de l'Alt Empordà - La Llarga - H103008000,508821,4673354
after_2007,0003,F016250,Aiguamolls de l'Alt Empordà-La Rogera - H103007001,508957,4674575
after_2007,0003,F016251,Aiguamolls de l'Alt Empordà-Est.de Vilaüt-Bassa Rodona - H100201000,509065,4681823
after_2007,0003,F016252,Aiguamolls de l'Alt Empordà-La Rogera - H103007000,509367,4674385
after_2007,0003,F016253,Aiguamolls de l'Alt Empordà-Estany d'en Túries - H103006000,509405,4675999
after_2007,0003,F016254,Aiguamolls de l'Alt Empordà-Estany del Tec - H100204000,510377,4679157
after_2007,0003,F016255,Aiguamolls de l'Alt Empordà-Estany d'Aigua Clara - H100203000,510382,4679743
after_2007,0003,F016256,Aiguamolls de l'Alt Empordà-Estany de Palau de Baix - H100202000,510610,4680423
after_2007,0003,F016257,Aiguamolls de l'Alt Empordà - Aiguamolls de la Rubina nord - H100205000,511907,4678745
after_2007,0003,F016258,Platja Castell - H161801000,512894,4634747
after_2007,0003,F016259,Estanyets de Pals - H100601000,513424,4649229
after_2007,0003,F016260,Aiguamolls del Baix Empordà-Bassa del Frare Ramon - H110003000,515751,4653027
after_2007,0003,F016261,Aiguamolls del Baix Empordà-Basses d'en Coll - H100602000,515980,4650235
after_2007,0003,F016262,Sorrals de Can Pomac - H150002000,516004,4681816
after_2007,0003,F016263,Aiguamolls del Baix Empordà-El Ter Vell - H110002000,516125,4654864
after_2007,0003,F016264,Aiguamolls del Baix Empordà-El Ter Vell - H110002001,516163,4655069
after_2007,0003,F016265,Estanyols del Pla dels Estanyets - H150001000,524939,4685184
after_2007,0003,F016268,Delta de l'Ebre-Ullals de l'Arispe i Baltasar - H240015000,296630,4505713
after_2007,0003,F021074,Estany de Basturs - 136160000,336495,4667760
after_2007,0003,F021075,Estany de Montcortès - 139160000,334919,4688704
after_2007,0003,F024866,Delta de l'Ebre-L'Alfacada - H240007001,318641,4506009
after_2007,0003,F024867,Delta de l'Ebre-L'Alfacada - H240007002,318026,4506349
after_2007,0003,F046151,N/D - H240016000,320219,4510017
after_2007,0004,F006171,Portbou - Llançà - 02 (17 092 B01),513200,4691025
after_2007,0004,F006172,Badia de Cadaqués - 03 (17 032 A01),522948,4681850
after_2007,0004,F006173,Roses - Castelló d'Empúries - 04 (17 152 D01),514083,4679152
after_2007,0004,F006174,Roses - Castelló d'Empúries - 05 (17 047 C01),510445,4676153
after_2007,0004,F006179,Sant Pere Pescador - Fluvià - 07 (17 178 A01),509169,4670749
after_2007,0004,F006187,Torroella de Montgrí - el Ter - 11 (17 199 C01),516134,4651809
after_2007,0004,F006189,Begur - Blanes - 13 (17 118 C01),511870,4633923
after_2007,0004,F006191,Begur - Blanes - 15 (17 048 A02),505529,4628514
after_2007,0004,F006195,Begur - Blanes - 18 (17 023 B01),482793,4613542
after_2007,0004,F006196,Blanes - Pineda de Mar - 19 (17 023 C03),482550,4613245
after_2007,0004,F006199,Blanes - Pineda de Mar - 21 (08 110 A01),481358,4610894
after_2007,0004,F006200,Els Alfacs - 61 (43 136 C01),296358,4498651
after_2007,0004,F006201,Blanes - Pineda de Mar - 22 (08 163 C01),474323,4607756
after_2007,0004,F006203,Pineda de Mar - Mataró - 23 (08 035 A01),472003,4606805
after_2007,0004,F006204,Pineda de Mar - Mataró - 24 (08 006 A01),463923,4603284
after_2007,0004,F006205,Pineda de Mar - Mataró - 25 (08 121 C01),454627,4598705
after_2007,0004,F006206,Mataró - Montgat - R26 (08 121 R04),451942,4596560
after_2007,0004,F006209,Mataró - Montgat - 29 (08 118 A02),443117,4591922
after_2007,0004,F006210,Montgat - Badalona - 30 (08 015 C01),437456,4588602
after_2007,0004,F006211,Sant Adrià de Besòs - Barceloneta - 31 (08 194 A01),436017,4585872
after_2007,0004,F006214,Sant Adrià de Besòs - Barceloneta - 33 (08 194 B01),435826,4585300
after_2007,0004,F006215,Sant Adrià de Besòs - Barceloneta - 34 (08 019 B01),434205,4583326
after_2007,0004,F006216,Barceloneta - Zona II Port Barcelona - 35 (08 019 E01),432806,4581675
after_2007,0004,F006220,El Prat de Llobregat - Castelldefels - 38 (08 301 A01),421792,4569708
after_2007,0004,F006221,El Prat de Llobregat - Castelldefels - 39 (08 089 A01),419828,4569146
after_2007,0004,F006222,El Prat de Llobregat - Castelldefels - 40 (08 056 A03),413261,4568569
after_2007,0004,F006223,Sitges - 41 (08 270 E01),400092,4565439
after_2007,0004,F006224,Vilanova i la Geltrú - 42 (08 307 B01),393105,4563068
after_2007,0004,F006227,Cubelles - Altafulla  - 66 (08 074 C01),387389,4561382
after_2007,0004,F006228,Cubelles - Altafulla  - 45 (43 163 B02),375766,4559630
after_2007,0004,F006229,Cubelles - Altafulla  - 46 (43 153 C01),366850,4555876
after_2007,0004,F006231,Tarragona Nord - 48 (43 148 C02),357628,4554422
after_2007,0004,F006232,Tarragona - Vila-seca - 49 (43 148 F01),354099,4552889
after_2007,0004,F006235,Tarragona - Vila-seca - 51 (43 171 B01),347558,4549176
after_2007,0004,F006236,Salou - Cambrils - 52 (43 905 E01),343832,4548495
after_2007,0004,F006237,Cambrils - Mont-roig del Camp - 53 (43 038 C01),337760,4547861
after_2007,0004,F006238,Vandellós i l'Hospitalet de l'Infant - 54 (43 162 B01),324684,4539466
after_2007,0004,F006239,L'Ametlla de Mar - 55 (43 013 E01),315130,4528265
after_2007,0004,F006240,El Fangar - 56 (43 906 C01),306042,4518875
after_2007,0004,F006241,Delta Nord - 57 (43 901 C01),317003,4511269
after_2007,0004,F006244,Delta Sud - 59 (43 136 G01),307370,4497351
after_2007,0004,F006245,Els Alfacs - 60 (43 136 H01),307227,4497466
after_2007,0004,F006246,Begur - Blanes - R03 (17 117 R01),516838,4637856
after_2007,0004,F006247,Begur - Blanes - R04 (17 202 R01),494928,4618887
after_2007,0004,F006249,Cap de Salou - R06 (43 905 R01),345767,4546574
after_2007,0004,F006250,L'Ametlla de Mar - R07 (43 013 R01),311371,4524125
after_2007,0004,F006270,Begur - Blanes - R28 (17 095 R01),486978,4615950
after_2007,0004,F006272,Cap de Creus - R09 (17 032 R02),525747,4685093
after_2007,0004,F006273,Cap Norfeu - R10 (17 152 R02),518715,4677496
after_2007,0004,F006274,Canyelles - R11 (17 152 R01),516294,4676977
after_2007,0004,F006275,Montgrí  - R12 (17 062 R01),513800,4662368
after_2007,0004,F006276,Pals - Sa Riera - 69 (17 124 B01),516558,4649405
after_2007,0004,F006283,Tarragona Nord - R18 (43 148 R01),360983,4553968
after_2007,0004,F006285,Vandellós i l'Hospitalet de l'Infant - 71 (43 092 G01),327421,4542120
after_2007,0004,F006286,L'Ametlla de Mar - R20 (43 013 R02),316616,4529922
after_2007,0004,F006288,L'Ametlla de Mar - R22 (43 104 R01),309725,4522739
after_2007,0004,F006289,Alcanar - 72 (43 004 C01),290377,4491207
after_2007,0004,F006290,Torroella de Montgrí - el Ter - 68 (17 199 B03),516241,4654366
after_2007,0004,F006291,Vilanova i la Geltrú - R23 (08 307 R01),391752,4562695
after_2007,0004,F006305,Begur - Blanes - 73 (17 181 C01),498393,4623076
after_2007,0004,F006306,Badia de El Port de la Selva - 75 (17 140 A01),516659,4687110
after_2007,0004,F006307,Portbou - Llançà - R24 (17 054 R01),513142,4692978
after_2007,0004,F006309,Pineda de Mar - Mataró - R25 (08 197 R01),457579,4600173
after_2007,0004,F006310,Sitges - 77 (08 270 B01),408221,4567550
after_2007,0004,F006311,El Fangar - 78 (43 901 F01),312917,4515859
after_2007,0004,F006312,Delta Nord - 79 (43 901 A02),314174,4514650
after_2007,0004,F006313,Els Alfacs - 80 (43 136 F01),302028,4499958
after_2007,0004,F006314,Begur - Blanes - 81 (17 013 C01),519043,4645409
after_2007,0004,F006315,Llobregat - 82 (08 169 F01),426701,4571948
after_2007,0004,F006850,Sant Pere Pescador - Fluvià - 83 (17 047 E02),509144,4672266
after_2007,0004,F006851,L'Escala - 84 (17 062 G01),510683,4663879
after_2007,0004,F006852,Pals - Sa Riera - R27 (17 013 R02),517423,4646940
after_2007,0004,F006853,Pineda de Mar - Mataró - R29 (08 121 R02),456336,4599762
after_2007,0004,F010176,Delta Sud - 89 (43 014 C01),313349,4502875
after_2007,0004,F010177,Montgat - Badalona - MITC101000180 - BAD05 CM,439416,4589231
after_2007,0004,F010178,Pals - Sa Riera - R30 (17 013 R03),517469,4647268
after_2007,0004,F010179,Badia de Cadaqués - MITC101000040 - CAD01,523457,4680933
after_2007,0004,F010180,Barceloneta - Zona II Port Barcelona - MITC101000200,433461,4580866
after_2007,0004,F010181,Cap Norfeu - MITC101000050,522807,4677075
after_2007,0004,F010182,Roses - Castelló d'Empúries - MITC101000070,512077,4676870
after_2007,0004,F010183,Roses - Castelló d'Empúries - 90 (17 047 A01),511514,4677739
after_2007,0004,F010184,Delta Nord - MITC091000330,316275,4513501
after_2007,0004,F010186,Badia de El Port de la Selva - MITC101000020 - PDS02,516067,4688024
after_2007,0004,F010187,Cubelles - Altafulla  - MITC101000250,376496,4558766
after_2007,0004,F010188,El Prat de Llobregat - Castelldefels - MITC101000220 - GAV01,418656,4567876
after_2007,0004,F010189,L'Ametlla de Mar - MITC101000320,314436,4525475
after_2007,0004,F010190,L'Escala - MITC101000090,511952,4664375
after_2007,0004,F010191,Blanes - Pineda de Mar - MITC101000150,479521,4609310
after_2007,0004,F010192,Pineda de Mar - Mataró - R31 (08 121 R03),455651,4599502
after_2007,0004,F010193,Cambrils - Mont-roig del Camp - MITC101000300,334500,4545686
after_2007,0004,F010194,Cambrils - Mont-roig del Camp - 87 (43 092 A03),332236,4545507
after_2007,0004,F010200,Begur - Blanes - MITC101000140,514506,4633625
after_2007,0004,F010201,Pals - Sa Riera - MITC101000120,517832,4648795
after_2007,0004,F010202,Mataró - Montgat - MITC101000170 - PRE01 CM,446021,4591896
after_2007,0004,F010203,Canyelles - MITC101000060,516017,4675795
after_2007,0004,F010204,Cap de Salou - MITC101000280 - SAL01,347005,4545716
after_2007,0004,F010205,Salou - Cambrils - MITC101000290,342540,4547751
after_2007,0004,F010206,Salou - Cambrils - 86 (43 905 F03),342060,4548683
after_2007,0004,F010207,Delta Sud - MITC091000340,309150,4498256
after_2007,0004,F010208,Els Alfacs - MITB091000030 - BAL04 CM - BAL04,301730,4498381
after_2007,0004,F010209,Sant Pere Pescador - Fluvià - MITC101000080,510302,4668405
after_2007,0004,F010210,Tarragona Nord - MITC101000260,358606,4553481
after_2007,0004,F010211,Montgrí  - MITC101000100,518587,4657500
after_2007,0004,F010212,Torroella de Montgrí - el Ter - MITC101000110,517107,4653235
after_2007,0004,F010213,Vandellós i l'Hospitalet de l'Infant - MITC101000310,324095,4537576
after_2007,0004,F010214,Vandellós i l'Hospitalet de l'Infant - 88 (43 162 D01),319680,4534215
after_2007,0004,F010215,Mataró - Montgat - 85 (08 219 C01),448656,4594213
after_2007,0004,F010216,Vilanova i la Geltrú - MITC101000240,394606,4562366
after_2007,0004,F010217,Tarragona - Vila-seca - MITC101000270,348941,4549431
after_2007,0004,F010220,Pineda de Mar - Mataró - MITC101000160,462356,4601675
after_2007,0004,F010224,Cap de Creus - MITC101000030,526031,4686022
after_2007,0004,F010225,Portbou - Llançà - MITC101000010 - GAR01,514377,4693680
after_2007,0004,F010228,Llobregat - MITC101000210,428276,4571181
after_2007,0004,F010235,Sant Adrià de Besòs - Barceloneta - MITC101000190,436796,4585271
after_2007,0004,F010240,Sitges - MITC101000230,404631,4564576
after_2007,0004,F011292,Alcanar - MITC091000350,291720,4491347
after_2007,0004,F011300,El Fangar - 91 (43 901 G01),309450,4515220
after_2007,0004,F012025,Pineda de Mar - Mataró - POS019,460065,4600042
after_2007,0004,F012026,Badia de Cadaqués - POS006,523162,4681224
after_2007,0004,F012027,Vandellós i l'Hospitalet de l'Infant - POS028,319835,4533256
after_2007,0004,F012028,Begur - Blanes - POS017,490776,4616598
after_2007,0004,F012029,L'Ametlla de Mar - POS030,310328,4523328
after_2007,0004,F012030,Cubelles - Altafulla  - POS023,373040,4557909
after_2007,0004,F012031,Cap de Creus - POS004,525556,4685608
after_2007,0004,F012032,Begur - Blanes - POS018,486299,4615201
after_2007,0004,F012033,Cap de Creus - POS005,525832,4684870
after_2007,0004,F012034,L'Ametlla de Mar - POS029,315922,4528430
after_2007,0004,F012035,Vandellós i l'Hospitalet de l'Infant - POS027,326711,4539574
after_2007,0004,F012036,Begur - Blanes - POS013,516486,4637706
after_2007,0004,F012037,Pineda de Mar - Mataró - POS020,455788,4597360
after_2007,0004,F012038,Montgrí  - POS011,518460,4654642
after_2007,0004,F012039,Montgrí  - POS010,514283,4661646
after_2007,0004,F012040,Cap Norfeu - POS007,519179,4677365
after_2007,0004,F012041,Cambrils - Mont-roig del Camp - POS026,332584,4544538
after_2007,0004,F012042,Begur - Blanes - POS014,509734,4632543
after_2007,0004,F012043,Badia de El Port de la Selva - POS002,516232,4687529
after_2007,0004,F012045,Canyelles - POS008,517025,4676250
after_2007,0004,F012046,Portbou - Llançà - POS001,513531,4695312
after_2007,0004,F012047,Begur - Blanes - POS012,519220,4645497
after_2007,0004,F012048,Salou - Cambrils - POS025,341775,4547429
after_2007,0004,F012049,Begur - Blanes - POS015,502164,4624386
after_2007,0004,F012050,Sitges - POS021,401490,4563187
after_2007,0004,F012051,Cap de Creus - POS003,517223,4688299
after_2007,0004,F012052,Cubelles - Altafulla  - POS024,369562,4556575
after_2007,0004,F012053,Begur - Blanes - POS016,495448,4619265
after_2007,0004,F012054,Vilanova i la Geltrú - POS022,394738,4560103
after_2007,0004,F012055,Els Alfacs - CYM013,297454,4495044
after_2007,0004,F012056,Els Alfacs - CYM012,298768,4495586
after_2007,0004,F012057,Els Alfacs - CYM011,305842,4496695
after_2007,0004,F012058,Els Alfacs - CYM010,308791,4500027
after_2007,0004,F012059,Els Alfacs - CYM009,308377,4500804
after_2007,0004,F012060,Els Alfacs - CYM008,306239,4500605
after_2007,0004,F012061,Els Alfacs - CYM007,301902,4499772
after_2007,0004,F012062,Els Alfacs - CYM006,298782,4499520
after_2007,0004,F012063,El Fangar - CYM005,311425,4516234
after_2007,0004,F012064,El Fangar - CYM004,310221,4516900
after_2007,0004,F012065,El Fangar - CYM003,310289,4515431
after_2007,0004,F012066,El Fangar - CYM002,307605,4517114
after_2007,0004,F012067,El Fangar - CYM001,308317,4517360
after_2007,0004,F012072,Canyelles - CRO01,516007,4676776
after_2007,0004,F012076,Canyelles - MUG17,515289,4675397
after_2007,0004,F012089,Roses - Castelló d'Empúries - MUG07,515115,4673284
after_2007,0004,F012090,Roses - Castelló d'Empúries - MUG06,516785,4672604
after_2007,0004,F012091,Roses - Castelló d'Empúries - MUG05,516924,4671448
after_2007,0004,F012092,Roses - Castelló d'Empúries - MUG04,514816,4672476
after_2007,0004,F012093,Roses - Castelló d'Empúries - MUG03,512974,4673127
after_2007,0004,F012098,Roses - Castelló d'Empúries - FLU18,512654,4672027
after_2007,0004,F012099,Roses - Castelló d'Empúries - FLU17,514216,4671509
after_2007,0004,F012100,Roses - Castelló d'Empúries - FLU16,516860,4670404
after_2007,0004,F012101,Sant Pere Pescador - Fluvià - FLU15,516812,4669871
after_2007,0004,F012102,Sant Pere Pescador - Fluvià - FLU14,514217,4670676
after_2007,0004,F012111,Sant Pere Pescador - Fluvià - FLU05,516725,4668558
after_2007,0004,F012112,Sant Pere Pescador - Fluvià - FLU04,515328,4668890
after_2007,0004,F012119,Torroella de Montgrí - el Ter - TER17,518792,4651866
after_2007,0004,F012121,Torroella de Montgrí - el Ter - TER15,519269,4653100
after_2007,0004,F012129,Torroella de Montgrí - el Ter - TER07,518564,4650855
after_2007,0004,F012130,Torroella de Montgrí - el Ter - TER06,519093,4650879
after_2007,0004,F012131,Pals - Sa Riera - TER05,519137,4650146
after_2007,0004,F012132,Pals - Sa Riera - TER04,518566,4650078
after_2007,0004,F012133,Pals - Sa Riera - TER03,517895,4650109
after_2007,0004,F012150,Blanes - Pineda de Mar - TOR07,480843,4610075
after_2007,0004,F012151,Blanes - Pineda de Mar - TOR06,481075,4609741
after_2007,0004,F012152,Blanes - Pineda de Mar - TOR05,480357,4609066
after_2007,0004,F012153,Blanes - Pineda de Mar - TOR04,480241,4609344
after_2007,0004,F012154,Blanes - Pineda de Mar - TOR03,480125,4609711
after_2007,0004,F012161,Mataró - Montgat - MAS01,445527,4589595
after_2007,0004,F012162,Mataró - Montgat - MAS02,444996,4590606
after_2007,0004,F012163,Mataró - Montgat - MAS03,444556,4591026
after_2007,0004,F012164,Sant Adrià de Besòs - Barceloneta - BES21,436057,4585279
after_2007,0004,F012165,Sant Adrià de Besòs - Barceloneta - BES20,436446.74,4585936.75
after_2007,0004,F012166,Sant Adrià de Besòs - Barceloneta - BES19,436745.14,4585656.57
after_2007,0004,F012168,Sant Adrià de Besòs - Barceloneta - BES17,437783,4584815
after_2007,0004,F012169,Sant Adrià de Besòs - Barceloneta - BES16,438820.02,4583939.98
after_2007,0004,F012171,Sant Adrià de Besòs - Barceloneta - BES14,437241.07,4584053.41
after_2007,0004,F012172,Sant Adrià de Besòs - Barceloneta - BES13,436777,4584546
after_2007,0004,F012173,Sant Adrià de Besòs - Barceloneta - BES12,436529.22,4584859.03
after_2007,0004,F012174,Sant Adrià de Besòs - Barceloneta - BES11,436180,4585140
after_2007,0004,F012175,Sant Adrià de Besòs - Barceloneta - BES10,435494.59,4584124.27
after_2007,0004,F012177,Sant Adrià de Besòs - Barceloneta - BES08,436141.97,4583596.69
after_2007,0004,F012178,Sant Adrià de Besòs - Barceloneta - BES07,436632,4583193
after_2007,0004,F012179,Sant Adrià de Besòs - Barceloneta - BES06,437437,4582564
after_2007,0004,F012181,Sant Adrià de Besòs - Barceloneta - BES05,436803.96,4581858.81
after_2007,0004,F012182,Sant Adrià de Besòs - Barceloneta - BES04,436015,4582454
after_2007,0004,F012183,Sant Adrià de Besòs - Barceloneta - BES03,435534,4582891
after_2007,0004,F012184,Sant Adrià de Besòs - Barceloneta - BES02,435118.25,4583172.76
after_2007,0004,F012185,Barceloneta - Zona II Port Barcelona - BTA01,433044,4581000
after_2007,0004,F012186,Barceloneta - Zona II Port Barcelona - BTA02,433366,4580762
after_2007,0004,F012187,Barceloneta - Zona II Port Barcelona - BTA03,433906,4580336
after_2007,0004,F012191,Barceloneta - Zona II Port Barcelona - LLO17,431180,4574294
after_2007,0004,F012192,Barceloneta - Zona II Port Barcelona - LLO16,431922,4574009
after_2007,0004,F012201,Barceloneta - Zona II Port Barcelona - LLO07,430259,4572515
after_2007,0004,F012202,Barceloneta - Zona II Port Barcelona - LLO06,430902,4572331
after_2007,0004,F012203,Llobregat - LLO05,430107,4571528
after_2007,0004,F012204,Llobregat - LLO04,429624,4571755
after_2007,0004,F012208,Llobregat - NLL15,429253,4570716
after_2007,0004,F012209,Llobregat - NLL14,428777,4571202
after_2007,0004,F012210,Llobregat - NLL13,428584,4571389
after_2007,0004,F012211,Llobregat - NLL08,427881,4570896
after_2007,0004,F012212,Llobregat - NLL07,428126,4570536
after_2007,0004,F012213,Llobregat - NLL06,428476,4570026
after_2007,0004,F012214,Llobregat - NLL05,427606,4569381
after_2007,0004,F012215,Llobregat - NLL04,427216,4569941
after_2007,0004,F012216,Llobregat - NLL03,426996,4570303
after_2007,0004,F012222,Llobregat - NLL21 CMFI,429436,4570402
after_2007,0004,F012223,Llobregat - NLL22 CMFI ,428954,4570060
after_2007,0004,F012224,Llobregat - NLL23,428212,4571294
after_2007,0004,F012225,Llobregat - NLL24,427870,4571755
after_2007,0004,F012226,El Prat de Llobregat - Castelldefels - CDF01,418808,4567254
after_2007,0004,F012227,El Prat de Llobregat - Castelldefels - CDF02,418936,4566491
after_2007,0004,F012228,El Prat de Llobregat - Castelldefels - CDF03,419306,4565051
after_2007,0004,F012229,El Prat de Llobregat - Castelldefels - CDF04,414078,4563320
after_2007,0004,F012230,El Prat de Llobregat - Castelldefels - CDF05,413543,4565547
after_2007,0004,F012231,El Prat de Llobregat - Castelldefels - CDF06,413316,4566861
after_2007,0004,F012234,Sitges - FAL18,408378,4563752
after_2007,0004,F012235,Sitges - FAL17,408313,4560666
after_2007,0004,F012244,Sitges - FAL08,405979,4562339
after_2007,0004,F012270,Cubelles - Altafulla  - FOI07,387947,4557286
after_2007,0004,F012271,Cubelles - Altafulla  - FOI06,387978,4556575
after_2007,0004,F012272,Cubelles - Altafulla  - FOI05,386902,4556525
after_2007,0004,F012273,Cubelles - Altafulla  - FOI04,386913,4557202
after_2007,0004,F012274,Cubelles - Altafulla  - FOI03,386950,4557945
after_2007,0004,F012277,Cubelles - Altafulla  - VEN02,377141,4557286
after_2007,0004,F012278,Cubelles - Altafulla  - VEN03,377326,4556506
after_2007,0004,F012279,Cubelles - Altafulla  - VEN04,377536,4555551
after_2007,0004,F012281,Tarragona - Vila-seca - FRA35,354504,4548746
after_2007,0004,F012286,Port de Tarragona - FRA30,351145,4551198
after_2007,0004,F012297,Tarragona - Vila-seca - FRA19,349756,4549575
after_2007,0004,F012312,Tarragona - Vila-seca - FRA04,348197,4546497
after_2007,0004,F012316,Tarragona - Vila-seca - FRA36 CMFI (SMF),349828,4549658
after_2007,0004,F012317,Tarragona - Vila-seca - FRA37 CMFI - FRA37,348820,4548936
after_2007,0004,F012318,Salou - Cambrils - CAM01,341833,4547035
after_2007,0004,F012319,Salou - Cambrils - CAM02,341900,4546351
after_2007,0004,F012320,Salou - Cambrils - CAM03,341905,4545716
after_2007,0004,F012321,Delta Nord - EBR20,319450,4513233
after_2007,0004,F012322,Delta Nord - EBR19,321019,4514217
after_2007,0004,F012325,Delta Nord - EBR16,322472,4518070
after_2007,0004,F012326,Delta Nord - EBR15,324208,4515096
after_2007,0004,F012327,Delta Nord - EBR14,323352,4514616
after_2007,0004,F012328,Delta Nord - EBR13,322567,4513957
after_2007,0004,F012329,Delta Nord - EBR12,321894,4513363
after_2007,0004,F012330,Delta Nord - EBR11,320746,4512335
after_2007,0004,F012334,Delta Nord - EBR07,326733,4509660
after_2007,0004,F012335,Delta Nord - EBR06,327865,4509634
after_2007,0004,F012336,Delta Nord - EBR05,325880,4501420
after_2007,0004,F012341,Delta Nord - EBR21,317925,4512291
after_2007,0004,F012342,Delta Nord - EBR22,314670,4514943
after_2007,0004,F012343,El Fangar - BFA01,307680,4517464
after_2007,0004,F012345,El Fangar - BFA03,310114,4515304
after_2007,0004,F012346,Els Alfacs - BAL01 CM - BAL01,306715,4499488
after_2007,0004,F012347,Els Alfacs - BAL02,301615,4497891
after_2007,0004,F012348,Els Alfacs - BAL03,295175,4495227
